22:27:32 OFFLOAD SIMULATOR STARTING
22:27:32 SERVER_1 READY
22:27:32 SERVER_2 READY
22:27:32 SERVER_3 READY
22:27:32 CONFIGURATION SET
22:27:32 PROCESS MAINTENANCE_MANAGER CREATED
22:27:32 MAINTENANCE MANAGER WORKING
22:27:32 maintenance manager begin 1
22:27:32 maintenance manager signal 1
22:27:32 PROCESS TASK_MANAGER CREATED
22:27:32 TASK_MANAGER WORKING
22:27:32 PROCESS MONITOR CREATED
22:27:32 TASK_MANAGER_DISPATCHER WORKING
22:27:32 TASK_MANAGER_SCHEDULER WORKING
22:27:32 MONITOR WORKING
22:27:36 maintenance manager begin 1
22:27:36 maintenance manager signal 1
22:27:36 MAINTENANCE FAILED
22:27:38 maintenance manager begin 1
22:27:38 maintenance manager signal 1
22:27:38 MAINTENANCE FAILED
22:27:41 maintenance manager begin 1
22:27:41 maintenance manager signal 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
22:27:42 maintenance manager begin 1
